727801,La ruleta de la fortuna junior,1998
727802,La ruleta de la fortuna,1990
728693,La saga de los Clark,1997
728694,La saga de los Rius,1976
728758,La salud es lo que importa,1990
728824,La segunda oportunidad,1978
728830,La semana que viene,1998
728845,La senda,1994
729088,La señora García se confiesa,1976
729179,La sonrisa del pelícano,1997
729600,La tarda és nostra,1994
730167,La tarde,1983
730258,La tarántula,1990
730304,"La tele es tuya, colega",1994
730364,La terra i la cendra,1984
730373,La tertulia,1990
730449,La transición,1995
730500,La trituradora,1999
730702,La verdad de...,1979
730781,La vida en el aire,1997
730798,La vida en un xip,1989
730939,La vida es juego,1992
731096,La vida según...,1995
731113,La vida sigue,1988
731292,La virtud del asesino,1997
731447,La voz humana,1986
731488,La vuelta al mando,1999
731506,La vuelta al mundo de Willy Fog,1981
731535,La víspera de nuestro tiempo,1981
731718,Laberint d'ombres,1998
731946,Labranza,1991
733937,Langostino,1987
734067,Lapices de colores,1987
734291,Lareira,1986
736246,Las auténticas aventuras del profesor Thompson,1992
736251,Las aventuras de Pepe Carvalho,1986
736261,Las aventuras del Hada Rebeca,1976
736268,Las buenas noticias,1978
736317,Las chicas de hoy en día,1991
736373,Las claves,1999
736381,Las coplas,1989
736398,Las cortes de España,1983
736431,Las doce en punta,1989
736475,Las lecciones de cocina de Pedro Subijana,1995
736617,Las mañanas de Rosa,1999
736660,Las mañanas de Tele 5,1993
736675,Las mil y una... Américas,1991
736689,Las noches de tal y tal,1991
736706,Las pícaras,1983
736714,Las reglas del juego,1977
736721,Las tardes de Alicia,1998
737019,Las viudas,1977
747350,Laura,1998
