31405,"Alonso, Santiago",m,,
31411,"Alonso, Sol",m,,
31416,"Alonso, Tomás",m,,
31425,"Alonso, Zacarías",m,,
31427,"Alonso, Álvaro",m,,
31429,"Alonso, Ángel",m,,
31430,"Alonso, Ángel",m,"Carenas, Zaragoza, Aragón, Spain",24 January 1942
31521,"Alotta, Giuseppe",m,,
31551,"Aloy, Antoni",m,,
31627,"Alperi, Jeffe",m,,
31707,"Alpha, Jacky",m,,
31708,"Alpha, Jose",m,,
31746,"Alpi, Roberto",m,"Settimo Torinese, Italy",13 July 1952
31747,"Alpiarça, Pedro",m,Portugal,1958
31763,"Alpiste, Sergi",m,,
31786,"Alpuente, Moncho",m,,23 May 1949
31787,"Alpuente, Ricardo",m,,
31796,"Alquerache, Diego",m,,
31806,"Alquézar, Emilio",m,,
31899,"Alsina, Joan",m,,
31900,"Alsina, Jorge",m,,
32058,"Alsup, Andy",m,,
32141,"Altamirano, Pedro",m,,
32175,"Altares, Manuel",m,,
32176,"Altares, Pedro",m,"Madrid, Madrid, Spain",1935
32308,"Alterio, Ernesto",m,"Buenos Aires, Argentina",25 July 1970
32311,"Alterio, Héctor",m,"Chacarita, Buenos Aires City, Argentina",21 September 1929
32441,"Altieri, Stefano",m,,
32634,"Altmann, Bertrand",m,,
32892,"Alunda, Manuel",m,,
32971,"Alvarado, Alejandro",m,,
32982,"Alvarado, Antonio",m,,
33004,"Alvarado, Daniel",m,"Maracaibo, Venezuela",1 January 1951
33030,"Alvarado, Esteban",m,,
33039,"Alvarado, Germán",m,,
33079,"Alvarado, Manuel",m,"Sonora, Mexico",1921
33192,"Alvarez, Adrian",m,,
33219,"Alvarez, Alfredo",m,,
33238,"Alvarez, Antonio",m,,
33441,"Alvarez, José Antonio",m,,
33450,"Alvarez, Juan Luis",m,"Frankfurt, Germany",10 December 1961
33488,"Alvarez, Manolin",m,,
33531,"Alvarez, Nicolás",m,,
33555,"Alvarez, Pepe",m,,
33602,"Alvarez, Santiago",m,,
33631,"Alvarez, Víctor",m,,
33711,"Alveberg, Dag",m,,
33993,"Alvez, Paco",m,,
34091,"Alvés, Luis Fernando",m,Spain,1961
34244,"Alzugaray, Enrique",m,,
34264,"Alí, Jorge",m,"Candelaria, Cuba",1959
34303,"Amachi, Shigeru",m,"Tokyo, Japan",1931
34382,"Amado, Chisco",m,"A Coruña, Galicia, Spain",1962
34385,"Amado, Cruz",m,,
34409,"Amador hijo, Carlos",m,,
34436,"Amador, José",m,,
34465,"Amador, Rafael",m,,
34466,"Amador, Raimundo",m,Spain,26 May 1959
34469,"Amador, Ricardo",m,,
34566,"Amalric, Mathieu",m,"Neuilly-sur-Seine, Hauts-de-Seine, France",25 October 1965
34614,"Amancio, Javierín",m,,
34632,"Amandola, Vittorio",m,"Perugia, Umbria, Italy",4 November 1952
34748,"Amar El, Sahli Mimoun",m,,
34787,"Amar, Samuel",m,,
34966,"Amargós, Joan Albert",m,"Barcelona, Catalonia, Spain",2 August 1950
34983,"Amarilla, Florencio",m,"Bogado, Paraguay",3 January 1935
35030,"Amaro, Francisco",m,,
35093,"Amat, Ferran",m,,
35094,"Amat, Frederic",m,"Barcelona, Barcelona, Catalonia, Spain",15 May 1952
35097,"Amat, Jordi",m,,
35098,"Amat, Jorge",m,,
35100,"Amat, Manuel",m,,
35105,"Amat, Sergi",m,,
35116,"Amate, Jesús",m,,
35134,"Amatller, Xavier",m,,
35162,"Amato, Gerardo",m,"Ascoli Satriano, Puglia, Italy",12 August 1952
35273,"Amaya, Diego",m,,
35289,"Amaya, Miguel",m,,
35303,"Amaya, Vicente",m,,
35407,"Ambiel, Dominique",m,,
35513,Ambroisine,m,,
35658,"Ambrosino, Mario",m,"Venice, Veneto, Italy",4 January 1936
35749,"Amechazurra, Gerardo",m,"Madrid, Madrid, Spain",4 August 1951
35815,"Amel, Said",m,,
35842,"Ameller, David",m,,
35892,"Amendola, Claudio",m,"Rome, Lazio, Italy",12 February 1963
35896,"Amendola, Ferruccio",m,"Turin, Piedmont, Italy",22 July 1930
35901,"Amendola, Mario",m,"Genoa, Liguria, Italy",8 December 1910
35909,"Amendola, Tony",m,"New Haven, Connecticut, USA",
